id,timestamp,views,vote,like,alarm
347053,2025072617,105289,5921,1590,123
347783,2025072617,241071,16732,2366,75
313537,2025072617,668208,45854,2494,170
255753,2025072617,11246592,849366,20937,1317
316047,2025072617,2132082,122410,9120,527
313008,2025072617,1563993,76041,7395,422
96311,2025072617,10838659,1135065,20950,1721
330397,2025072617,349575,21406,3071,225
242989,2025072617,12695610,914892,35410,2236
194441,2025072617,13093842,826798,21098,1706
308395,2025072617,2800569,285751,13191,700
73524,2025072617,2984946,240649,22026,2443
357983,2025072617,126794,10076,1964,108
347256,2025072617,312582,26283,3405,173
346814,2025072617,1277399,132883,12167,728
328089,2025072617,382999,16168,1800,113
101172,2025072617,18591452,1399374,39555,3434
347122,2025072617,134898,11833,2128,117
313965,2025072617,1998169,189793,11164,915
342570,2025072617,1411028,54404,4500,235
308608,2025072617,11331347,1013143,43289,3021
347173,2025072617,2058401,194540,17359,1127
119597,2025072617,17932485,1204438,38993,3749
290659,2025072617,8656456,646611,28922,1879
314965,2025072617,1071925,63113,13503,1196
307953,2025072617,1264348,58130,8256,653
346826,2025072617,296212,17862,2445,135
291265,2025072617,4528221,268936,13303,740
331224,2025072617,2672692,182541,22557,1522
292772,2025072617,3135189,204664,21698,1782
352560,2025072617,965272,75842,8769,500
332333,2025072617,269772,11128,2011,149
297802,2025072617,2777907,197432,14641,1052
87382,2025072617,5114373,285345,8847,759
347465,2025072617,523333,19503,2675,113
46706,2025072617,8981276,664237,28188,2543
320059,2025072617,2207774,207887,12350,797
359807,2025072617,378064,30699,4675,268
352066,2025072617,429500,17301,2073,87
306899,2025072617,1558898,128938,8373,419
347847,2025072617,303889,18562,2930,111
118288,2025072617,3084345,158979,15386,1692
336982,2025072617,3560691,278644,17270,948
285308,2025072617,755999,48592,2383,172
339016,2025072617,603301,34456,5872,499
331261,2025072617,1548976,112691,10467,574
336316,2025072617,1642004,78840,7406,396
78991,2025072617,8682201,681973,19364,1742
337299,2025072617,1260892,85769,8008,480
330953,2025072617,1759841,121521,6734,407
330800,2025072617,1966880,106457,11747,818
347837,2025072617,2136011,138285,17432,971
141671,2025072617,3684724,212042,17221,1634
355086,2025072617,122837,7581,1899,132
29912,2025072617,20405541,1161630,52962,7684
347787,2025072617,273880,30152,4556,298
209139,2025072617,1874911,71217,7710,762
324482,2025072617,656105,39667,2218,106
348160,2025072617,457697,25090,3475,268
314912,2025072617,1154881,134494,13280,1055
156655,2025072617,4172991,180690,10919,820
311095,2025072617,3182031,270831,20085,1483
155194,2025072617,1269812,48068,7829,730
225334,2025072617,14857110,942840,38669,4046
249027,2025072617,3052626,132151,7183,705
283012,2025072617,1251400,151251,5926,519
236362,2025072617,4978136,286670,11458,720
330850,2025072617,1790428,113331,14462,1013
321237,2025072617,2447802,195027,12611,783
308821,2025072617,6094148,426965,23190,1323
312477,2025072617,2606839,252799,14866,840
332184,2025072617,530664,19437,1913,138
219439,2025072617,12773140,1351388,36902,3421
232253,2025072617,10417364,563881,30217,2587
283246,2025072617,2708658,387757,9832,701
202874,2025072617,520800,15683,3012,226
320438,2025072617,643307,33040,3502,173
347986,2025072617,1646336,136326,15772,888
51066,2025072617,23581430,1659090,37312,3055
347764,2025072617,122197,4925,904,49
326696,2025072617,2559536,179528,14953,1010
346751,2025072617,703509,49164,4562,152
357772,2025072617,287345,15247,3846,238
358490,2025072617,766851,52006,7475,343
344236,2025072617,439018,24458,5307,359
346762,2025072617,1011819,77028,9034,563
347085,2025072617,2339470,219659,22497,1373
310025,2025072617,4330363,413199,16468,1281
307138,2025072617,831304,49268,3765,174
96051,2025072617,14047337,1200268,36476,3206
358760,2025072617,232004,24113,4574,277
26536,2025072617,12016303,1145943,30633,2368
349687,2025072617,598942,25531,4627,226
301376,2025072617,8203664,518732,9985,658
357728,2025072617,249562,10686,2778,213
347542,2025072617,147992,14115,1164,54
81003,2025072617,14671912,806917,40364,4594
347697,2025072617,726802,50619,4780,233
330363,2025072617,3027467,307785,20773,1374
307482,2025072617,983138,51478,5154,407
233386,2025072617,6528737,500162,32876,2592
291706,2025072617,2328701,203470,11223,719
166431,2025072617,10845309,634913,30341,2995
307001,2025072617,1345017,157476,8421,485
211768,2025072617,6691500,577073,15386,1093
253974,2025072617,3423891,454011,16766,1138
178019,2025072617,8678784,628807,27152,2168
343657,2025072617,1035414,67190,10796,851
232659,2025072617,5207694,436872,16791,1048
293214,2025072617,6964463,407869,28541,2385
232515,2025072617,2222245,88600,4107,234
29958,2025072617,14225212,831529,21643,2450
355196,2025072617,190149,19378,3364,215
156911,2025072617,16154443,1483771,23034,2266
346719,2025072617,790896,50273,6709,427
300623,2025072617,10362672,757077,25467,1541
141676,2025072617,12673364,1008299,31676,2124
217039,2025072617,8718596,420349,28838,2773
329669,2025072617,1320825,61910,8339,752
331843,2025072617,1180167,60619,8068,512
306947,2025072617,4703606,306745,22491,1749
298951,2025072617,630985,31593,3133,249
345830,2025072617,23980,1553,346,65
342676,2025072617,1335878,92731,9386,632
325363,2025072617,1492530,96159,6565,442
282632,2025072617,1681664,136894,6783,539
363208,2025072617,241126,9503,1805,75
346687,2025072617,1547978,150402,13797,709
340636,2025072617,1740327,120497,12929,900
362598,2025072617,1146740,74886,15867,866
347556,2025072617,334199,23288,2851,143
282480,2025072617,3095766,209466,14278,1186
355558,2025072617,479909,30293,4485,296
322218,2025072617,3499842,216566,21127,1594
225105,2025072617,4964157,263147,19812,1978
242412,2025072617,14526556,1451914,54554,5562
346855,2025072617,915904,102044,8507,473
45208,2025072617,43447571,2211584,69566,7854
346889,2025072617,194264,10339,1584,116
347243,2025072617,633684,53588,4789,314
326385,2025072617,150927,6400,1246,85
354088,2025072617,596765,45304,6219,361
359511,2025072617,91564,4617,1782,137
300620,2025072617,2537797,233446,14237,958
307751,2025072617,4370071,343515,22417,1381
346998,2025072617,639518,55141,7586,422
355248,2025072617,243492,9416,2279,172
196657,2025072617,4661726,339431,15023,1036
356028,2025072617,207745,11849,2016,138
346708,2025072617,570888,39965,4172,189
350411,2025072617,162315,7154,1783,139
313425,2025072617,1159725,82659,5679,451
282210,2025072617,5764232,435876,18530,1287
297236,2025072617,3008868,228875,10582,814
332744,2025072617,777040,69850,4869,353
358245,2025072617,641412,31997,6246,410
288864,2025072617,3137781,423337,11896,1257
97161,2025072617,30620605,2107439,50234,4478
355448,2025072617,193514,15427,3578,252
282194,2025072617,1749002,83058,8101,641
251984,2025072617,9492627,605630,29206,2542
49942,2025072617,20188975,1700525,58193,6394
353365,2025072617,170050,8785,2326,161
358598,2025072617,752640,56422,8149,437
203509,2025072617,7533495,377129,22436,1911
327930,2025072617,1658611,152025,7905,487
308241,2025072617,1927684,107198,9276,582
233265,2025072617,8406165,579575,24389,2111
325323,2025072617,1579747,98571,9122,579
154110,2025072617,11254289,707347,36014,3554
347507,2025072617,560835,70964,6560,524
330315,2025072617,738003,56073,5226,328
173203,2025072617,1276884,150772,7886,657
263218,2025072617,1171409,56254,2471,141
201091,2025072617,9407069,711896,24971,2408
340328,2025072617,926177,60470,7321,415
331799,2025072617,1466133,119774,9854,745
288795,2025072617,2260726,185876,13150,789
354038,2025072617,391111,36357,5690,375
338178,2025072617,2481544,207644,18664,1237
346691,2025072617,145046,6878,1604,114
352039,2025072617,237540,17212,3414,200
351176,2025072617,2249087,166323,15001,692
309369,2025072617,2387822,211023,13850,626
347751,2025072617,740176,60456,6091,364
239336,2025072617,1683874,76525,5077,358
353661,2025072617,688537,42819,6109,321
359594,2025072617,60674,4676,1529,158
351085,2025072617,660566,37578,6523,439
153386,2025072617,5050427,262008,11116,653
361296,2025072617,1403658,93554,15714,864
353791,2025072617,103993,8157,2068,160
358611,2025072617,434916,30443,4991,314
346867,2025072617,654541,58627,3356,199
